epsilon,J_SAA,J_DRO,OOS_SAA,OOS_DRO
0.0001,-0.3026298536696127,0.08603645749765758,-0.30308615588429416,-0.128568112761536
0.0001438449888287663,-0.3026298536696127,0.08608030248648635,-0.30308615588429416,-0.128568112761536
0.00020691380811147902,-0.3026298536696127,0.08614337130576906,-0.30308615588429416,-0.128568112761536
0.00029763514416313193,-0.3026298536696127,0.0862340926418207,-0.30308615588429416,-0.128568112761536
0.00042813323987193956,-0.3026298536696127,0.08636459073752951,-0.30308615588429416,-0.128568112761536
0.0006158482110660267,-0.3026298536696127,0.0865523057087236,-0.30308615588429416,-0.128568112761536
0.0008858667904100823,-0.3026298536696127,0.08682232428806766,-0.30308615588429416,-0.128568112761536
0.0012742749857031334,-0.3026298536696127,0.08721073248336071,-0.30308615588429416,-0.128568112761536
0.0018329807108324356,-0.3026298536696127,0.08776943820849001,-0.30308615588429416,-0.128568112761536
0.0026366508987303583,-0.3026298536696127,0.08857310839638793,-0.30308615588429416,-0.128568112761536
0.00379269019073225,-0.3026298536696127,0.08972914768838983,-0.30308615588429416,-0.128568112761536
0.005455594781168515,-0.3026298536696127,0.09139205227882609,-0.30308615588429416,-0.128568112761536
0.007847599703514606,-0.3026298536696127,0.09378405720117218,-0.30308615588429416,-0.128568112761536
0.011288378916846883,-0.3026298536696127,0.09722483641450445,-0.30308615588429416,-0.128568112761536
0.01623776739188721,-0.3026298536696127,0.10217422488954478,-0.30308615588429416,-0.128568112761536
0.023357214690901212,-0.3026298536696127,0.10929367218855879,-0.30308615588429416,-0.128568112761536
0.03359818286283781,-0.3026298536696127,0.11953464036049538,-0.30308615588429416,-0.128568112761536
0.04832930238571752,-0.3026298536696127,0.13426575988337508,-0.30308615588429416,-0.128568112761536
0.06951927961775606,-0.3026298536696127,0.15545573711541363,-0.30308615588429416,-0.128568112761536
0.1,-0.3026298536696127,0.18593645749765758,-0.30308615588429416,-0.128568112761536
